,new_epitope_a,new_epitope_b,new_epitope_c,new_epitope_d,new_epitope_e,label
450,1,0,3,0,0,0.402
451,2,1,3,0,0,0.571
452,1,1,3,4,1,1.386
453,0,1,5,2,1,0.459
454,0,1,5,3,1,0.5
455,2,1,3,0,0,0.691
456,0,1,3,1,0,1.698
457,1,2,2,3,3,1.861
458,0,3,3,3,0,4.0
459,0,1,1,3,2,0.174
460,1,2,4,4,4,0.361
461,1,1,3,3,4,0.446
462,1,1,1,2,3,0.575
463,1,3,3,4,4,0.868
464,0,2,1,2,2,1.288
465,1,2,2,3,3,1.664
466,1,2,2,3,3,1.861
467,2,1,1,3,3,2.12
468,1,1,3,4,4,2.861
469,1,3,1,2,3,3.255
470,4,2,2,3,3,5.119
471,1,0,3,1,0,0.547
472,1,1,2,1,0,0.983
473,1,4,4,4,1,1.026
474,1,1,2,2,0,1.329
475,1,0,2,4,2,0.658
476,1,1,2,4,2,1.404
477,0,0,2,2,1,2.198
478,2,4,1,2,0,0.034
479,0,2,2,2,0,0.404
480,1,4,2,2,0,1.292
481,2,1,3,0,0,0.141
482,2,2,4,0,0,0.276
483,2,1,3,0,0,0.691
484,2,2,4,0,0,0.898
485,2,0,2,3,1,1.191
486,3,0,11,14,36,0.695
487,3,1,1,1,1,0.789
488,0,1,0,2,1,1.616
489,1,2,0,2,2,2.17
490,2,3,2,4,1,2.469
491,0,3,3,2,1,0.198
492,0,3,2,2,1,0.236
493,0,0,2,1,1,0.448
494,0,3,4,2,0,0.491
495,1,1,1,2,3,0.575
496,0,1,3,1,0,0.685
497,0,1,4,1,0,1.002
498,1,1,2,1,0,1.141
499,0,3,4,1,0,1.188
500,2,2,4,1,0,1.198
501,0,1,4,1,0,1.267
502,0,1,3,1,0,1.308
503,1,1,2,2,0,1.329
504,2,0,0,1,0,1.49
505,2,0,0,1,0,1.588
506,1,0,0,3,1,1.684
507,0,1,3,1,0,1.698
508,0,0,2,2,1,2.198
509,1,1,0,2,1,2.272
510,0,1,4,1,0,2.329
511,0,2,0,2,0,3.426
512,3,3,1,3,0,4.424
513,3,2,1,0,0,0.5
514,3,2,1,0,0,1.898
515,3,5,3,3,1,2.026
516,4,1,11,14,35,0.055
517,2,0,2,1,0,0.07
518,3,5,0,1,0,0.2
519,1,1,0,0,1,0.228
520,1,1,0,0,0,0.364
521,2,2,1,1,0,0.486
522,3,4,2,1,0,0.959
523,1,2,7,1,1,0.975
524,1,2,0,2,0,1.836
525,2,3,0,2,1,4.07
526,3,2,1,2,0,4.145
527,2,3,0,2,1,4.406
528,3,4,2,4,0,4.625
529,2,3,0,3,1,5.032
530,1,3,2,4,1,5.166
531,0,0,0,1,0,0.0
532,0,0,0,3,0,0.104
533,0,1,0,0,0,0.432
534,0,0,0,1,0,0.689
535,4,2,11,16,35,2.616
536,0,1,0,0,0,-0.534
537,0,0,0,2,0,0.539
538,0,0,0,4,0,0.658
539,0,0,0,1,0,0.689
540,0,1,0,1,0,-0.6
541,0,0,0,1,0,-0.196
542,0,0,0,1,0,-0.014
543,0,0,0,1,0,0.0
544,0,0,0,2,0,0.247
545,0,0,0,2,0,0.539
546,0,0,0,2,0,0.586
547,1,2,0,1,2,3.222
